Site ID,Start date,End date
G03,2012-09-27,2012-11-21
G03,2012-11-22,2013-02-08
G04,2010-07-21,2010-09-04
G04,2011-02-11,2011-02-12
G04,2011-03-01,2011-06-18
G04,2011-09-15,2012-03-16
G04,2012-06-01,2013-04-26
G05,2010-07-16,2010-08-22
G05,2011-03-02,2011-07-04
G05,2011-09-15,2012-10-04
G05,2013-01-22,2013-04-26
G06,2010-07-21,2010-11-02
G06,2011-02-11,2011-08-05
G06,2011-09-15,2011-11-03
G06,2011-11-04,2012-01-06
G06,2012-03-13,2012-11-17
G06,2013-01-22,2013-01-22
G07,2010-07-16,2010-08-06
G07,2010-09-06,2010-11-02
G07,2011-03-05,2011-06-07
G07,2011-09-15,2012-01-06
G07,2012-05-23,2012-06-13
G07,2012-08-11,2012-10-14
G07,2012-11-18,2013-04-26
G08,2010-09-06,2010-09-23
G08,2011-02-14,2011-03-06
G08,2011-09-09,2011-09-21
G08,2011-11-04,2011-11-07
G08,2012-03-13,2012-03-15
G09,2010-08-30,2010-11-05
G09,2011-02-12,2011-04-12
G09,2011-05-17,2011-06-16
G09,2011-09-09,2011-11-04
G09,2013-02-01,2013-02-01
G10,2010-09-08,2010-11-05
G10,2011-03-05,2011-05-26
G10,2011-09-09,2011-11-05
G10,2013-01-30,2013-04-14
G11,2010-09-18,2010-10-08
G11,2011-02-14,2011-04-15
G11,2011-09-09,2011-11-05
G11,2012-01-11,2012-03-15
G12,2010-09-08,2010-09-23
G12,2011-03-04,2011-07-22
G12,2011-09-09,2011-10-19
G12,2012-01-16,2012-01-19
G12,2012-05-21,2013-02-10
G13,2010-09-17,2010-11-03
G13,2011-02-14,2011-05-14
G13,2011-09-09,2011-10-24
G13,2012-01-16,2012-03-11
G13,2012-03-16,2012-04-16
G13,2012-08-02,2012-08-23
G13,2012-10-05,2012-11-10
G13,2012-12-11,2012-12-11
H01,2010-08-31,2010-10-13
H01,2011-02-09,2011-03-13
H01,2011-10-29,2011-11-27
H01,2011-12-31,2012-02-12
H01,2012-02-28,2012-06-27
H01,2012-07-30,2013-03-18
H02,2010-08-31,2010-11-06
H02,2011-02-26,2011-05-21
H02,2011-06-18,2011-08-02
H02,2011-10-29,2012-07-05
H02,2012-07-30,2013-01-14
H02,2013-02-02,2013-03-27
H03,2010-08-31,2010-11-02
H03,2011-02-27,2011-07-09
H03,2011-10-29,2012-02-05
H03,2012-03-09,2012-07-15
H03,2012-07-30,2013-01-23
H03,2013-02-02,2013-03-23
H04,2010-07-29,2010-08-21
H04,2011-02-07,2011-02-26
H04,2011-03-02,2011-07-26
H04,2011-10-29,2013-04-24
H05,2010-07-16,2010-08-06
H05,2010-09-04,2010-11-02
H05,2011-03-02,2011-06-27
H05,2011-09-06,2012-02-04
H05,2012-02-12,2012-05-28
H05,2012-07-21,2012-12-19
H05,2013-01-22,2013-02-18
H05,2013-03-01,2013-04-26
H06,2010-07-21,2010-11-02
H06,2011-03-02,2011-07-29
H06,2011-11-07,2011-12-11
H06,2012-01-06,2012-08-10
H06,2012-09-12,2012-11-26
H06,2013-01-22,2013-04-26
H07,2010-07-16,2010-11-02
H07,2011-02-16,2011-03-03
H07,2011-03-07,2011-04-02
H07,2011-05-19,2011-07-25
H07,2011-09-15,2012-02-01
H07,2012-03-12,2012-05-01
H07,2012-05-23,2012-12-06
H07,2012-12-15,2013-01-06
